STATE NAME,Sex,Age,Average Income in 2016-17 ($)
VIC,Male,36,88591
VIC,Male,37,88591
VIC,Male,38,88591
VIC,Male,39,88591
VIC,Male,40,88591
VIC,Male,41,88591
VIC,Male,42,88591
VIC,Male,43,88591
VIC,Male,44,88591
VIC,Female,35,58048
VIC,Female,36,58048
VIC,Female,37,58048
VIC,Female,38,58048
VIC,Female,39,58048
VIC,Female,40,58048
VIC,Female,41,58048
VIC,Female,42,58048
VIC,Female,43,58048
VIC,Female,44,58048
VIC,Unknown,35,73974
VIC,Unknown,36,73974
VIC,Unknown,37,73974
VIC,Unknown,38,73974
VIC,Unknown,39,73974
VIC,Unknown,40,73974
VIC,Unknown,41,73974
VIC,Unknown,42,73974
VIC,Unknown,43,73974
VIC,Unknown,44,73974
VIC,Male,45,97053
VIC,Male,46,97053
VIC,Male,47,97053
VIC,Male,48,97053
VIC,Male,49,97053
VIC,Male,50,97053
VIC,Male,51,97053
VIC,Male,52,97053
VIC,Male,53,97053
VIC,Male,54,97053
VIC,Female,45,60371
VIC,Female,46,60371
VIC,Female,47,60371
VIC,Female,48,60371
VIC,Female,49,60371
VIC,Female,50,60371
VIC,Female,51,60371
VIC,Female,52,60371
VIC,Female,53,60371
VIC,Female,54,60371
VIC,Unknown,45,78607
VIC,Unknown,46,78607
VIC,Unknown,47,78607
VIC,Unknown,48,78607
VIC,Unknown,49,78607
VIC,Unknown,50,78607
VIC,Unknown,51,78607
VIC,Unknown,52,78607
VIC,Unknown,53,78607
VIC,Unknown,54,78607
VIC,Male,55,85726
VIC,Male,56,85726
VIC,Male,57,85726
VIC,Male,58,85726
VIC,Male,59,85726
VIC,Male,60,85726
VIC,Male,61,85726
VIC,Male,62,85726
VIC,Male,63,85726
VIC,Male,64,85726
VIC,Female,55,55171
VIC,Female,56,55171
VIC,Female,57,55171
VIC,Female,58,55171
VIC,Female,59,55171
VIC,Female,60,55171
VIC,Female,61,55171
VIC,Female,62,55171
VIC,Female,63,55171
VIC,Female,64,55171
VIC,Unknown,55,70647
VIC,Unknown,56,70647
VIC,Unknown,57,70647
VIC,Unknown,58,70647
VIC,Unknown,59,70647
VIC,Unknown,60,70647
VIC,Unknown,61,70647
VIC,Unknown,62,70647
VIC,Unknown,63,70647
VIC,Unknown,64,70647
VIC,Male,65,56026
VIC,Male,66,56026
VIC,Male,67,56026
VIC,Male,68,56026
VIC,Male,69,56026
VIC,Male,70,56026
VIC,Male,71,56026
VIC,Male,72,56026
VIC,Male,73,56026
VIC,Male,74,56026
VIC,Male,75,56026
VIC,Male,76,56026
VIC,Male,77,56026
VIC,Male,78,56026
VIC,Male,79,56026
VIC,Male,80,56026
VIC,Male,81,56026
VIC,Male,82,56026
VIC,Male,83,56026
VIC,Male,84,56026
VIC,Male,85,56026
VIC,Male,86,56026
VIC,Male,87,56026
VIC,Male,88,56026
VIC,Male,89,56026
VIC,Male,90,56026
VIC,Male,91,56026
VIC,Male,92,56026
VIC,Male,93,56026
VIC,Male,94,56026
VIC,Male,95,56026
VIC,Male,96,56026
VIC,Male,97,56026
VIC,Male,98,56026
VIC,Male,99,56026
VIC,Male,100,56026
VIC,Female,65,38262
VIC,Female,66,38262
VIC,Female,67,38262
VIC,Female,68,38262
VIC,Female,69,38262
VIC,Female,70,38262
VIC,Female,71,38262
VIC,Female,72,38262
VIC,Female,73,38262
VIC,Female,74,38262
VIC,Female,75,38262
VIC,Female,76,38262
VIC,Female,77,38262
VIC,Female,78,38262
VIC,Female,79,38262
VIC,Female,80,38262
VIC,Female,81,38262
VIC,Female,82,38262
VIC,Female,83,38262
VIC,Female,84,38262
VIC,Female,85,38262
VIC,Female,86,38262
VIC,Female,87,38262
VIC,Female,88,38262
VIC,Female,89,38262
VIC,Female,90,38262
VIC,Female,91,38262
VIC,Female,92,38262
VIC,Female,93,38262
VIC,Female,94,38262
VIC,Female,95,38262
VIC,Female,96,38262
VIC,Female,97,38262
VIC,Female,98,38262
VIC,Female,99,38262
VIC,Female,100,38262
VIC,Unknown,65,48405
VIC,Unknown,66,48405
VIC,Unknown,67,48405
VIC,Unknown,68,48405
VIC,Unknown,69,48405
VIC,Unknown,70,48405
VIC,Unknown,71,48405
VIC,Unknown,72,48405
VIC,Unknown,73,48405
VIC,Unknown,74,48405
VIC,Unknown,75,48405
VIC,Unknown,76,48405
VIC,Unknown,77,48405
VIC,Unknown,78,48405
VIC,Unknown,79,48405
VIC,Unknown,80,48405
VIC,Unknown,81,48405
VIC,Unknown,82,48405
VIC,Unknown,83,48405
VIC,Unknown,84,48405
VIC,Unknown,85,48405
VIC,Unknown,86,48405
VIC,Unknown,87,48405
VIC,Unknown,88,48405
VIC,Unknown,89,48405
VIC,Unknown,90,48405
VIC,Unknown,91,48405
VIC,Unknown,92,48405
VIC,Unknown,93,48405
VIC,Unknown,94,48405
VIC,Unknown,95,48405
VIC,Unknown,96,48405
VIC,Unknown,97,48405
VIC,Unknown,98,48405
VIC,Unknown,99,48405
VIC,Unknown,100,48405
QLD,Male,19,32437
QLD,Male,20,32437
QLD,Male,21,32437
QLD,Male,22,32437
QLD,Male,23,32437
QLD,Male,24,32437
QLD,Female,19,27470
QLD,Female,20,27470
QLD,Female,21,27470
QLD,Female,22,27470
QLD,Female,23,27470
QLD,Female,24,27470
OLD,Unknown,19,30003
OLD,Unknown,20,30003
OLD,Unknown,21,30003
OLD,Unknown,22,30003
OLD,Unknown,23,30003
OLD,Unknown,24,30003
QLD,Male,25,64116
QLD,Male,26,64116
QLD,Male,27,64116
QLD,Male,28,64116
QLD,Male,29,64116
QLD,Male,30,64116
QLD,Male,31,64116
QLD,Male,32,64116
QLD,Male,33,64116
QLD,Male,34,64116
QLD,Female,25,47341
QLD,Female,26,47341
QLD,Female,27,47341
QLD,Female,28,47341
QLD,Female,29,47341
QLD,Female,30,47341
QLD,Female,31,47341
QLD,Female,32,47341
QLD,Female,33,47341
QLD,Female,34,47341
OLD,Unknown,25,55971
OLD,Unknown,26,55971
OLD,Unknown,27,55971
OLD,Unknown,28,55971
OLD,Unknown,29,55971
OLD,Unknown,30,55971
OLD,Unknown,31,55971
OLD,Unknown,32,55971
OLD,Unknown,33,55971
OLD,Unknown,34,55971
QLD,Male,35,86815
QLD,Male,36,86815
QLD,Male,37,86815
QLD,Male,38,86815
QLD,Male,39,86815
QLD,Male,40,86815
QLD,Male,41,86815
QLD,Male,42,86815
QLD,Male,43,86815
QLD,Male,44,86815
QLD,Female,35,55668
